teacherEmail,className,subject
adel.farouk@school.test,2E British,math
amelia.thornton@school.test,2B American,math
andrew.kingsley@school.test,1B American,english
andrew.kingsley@school.test,3B American,english
bilal.darwish@school.test,2E British,english
charlotte.pemberton@school.test,1A American,english
charlotte.pemberton@school.test,3A American,english
claire.bennett@school.test,1E American,math
claire.bennett@school.test,3E American,math
dalia.shaheen@school.test,1E British,english
dalia.shaheen@school.test,3E British,english
daniel.whitfield@school.test,1B American,math
daniel.whitfield@school.test,3B American,math
emily.carter@school.test,1A American,math
emily.carter@school.test,3A American,math
fatima.al-sayed@school.test,1A British,english
fatima.al-sayed@school.test,3A British,english
george.hammond@school.test,2C American,english
grace.holloway@school.test,1C American,math
grace.holloway@school.test,3C American,math
hannah.whitaker@school.test,1C American,english
hannah.whitaker@school.test,3C American,english
hassan.rifai@school.test,2A British,math
huda.barakat@school.test,2D British,math
ibrahim.qassim@school.test,1D British,english
ibrahim.qassim@school.test,3D British,english
isabelle.fairbanks@school.test,2B American,english
jonathan.reeves@school.test,2A American,math
khalid.jaber@school.test,1B British,english
khalid.jaber@school.test,3B British,english
laila.haddad@school.test,1C British,math
laila.haddad@school.test,3C British,math
maryam.zahran@school.test,2B British,math
michael.dawson@school.test,2C American,math
mona.kanaan@school.test,2D British,english
nadia.khalil@school.test,1E British,math
nadia.khalil@school.test,3E British,math
nathan.boyle@school.test,2E American,english
noor.abdelrahman@school.test,2B British,english
oliver.grantham@school.test,1D American,english
oliver.grantham@school.test,3D American,english
omar.nasser@school.test,1B British,math
omar.nasser@school.test,3B British,math
peter.ashcroft@school.test,1D American,math
peter.ashcroft@school.test,3D American,math
rania.mahmoud@school.test,1C British,english
rania.mahmoud@school.test,3C British,english
rebecca.lindsay@school.test,2D American,math
samir.toufik@school.test,2A British,english
sara.al-harbi@school.test,1A British,math
sara.al-harbi@school.test,3A British,math
sophie.ellison@school.test,1E American,english
sophie.ellison@school.test,3E American,english
stephen.marsh@school.test,2E American,math
tariq.sulaiman@school.test,2C British,math
thomas.radcliffe@school.test,2A American,english
victoria.prescott@school.test,2D American,english
yousef.mansour@school.test,1D British,math
yousef.mansour@school.test,3D British,math
ziad.halabi@school.test,2C British,english
