className,name,parentEmail
1A British,Amina Al Amin,amina.al-amin@family.test
1A British,Zain Lutfi,zain.lutfi@family.test
1A British,Tala Caldwell,tala.caldwell@family.test
1A British,Marwan Norbury,marwan.norbury@family.test
1A British,Leen El Masri,leen.el-masri@family.test
1A British,Freya Qadri,freya.qadri@family.test
1A British,Jacob Garrick,
1A British,Ada Renshaw,ada.renshaw@family.test
1A British,Nabil Ismail,nabil.ismail@family.test
1A British,Karim Wahbi,karim.wahbi@family.test
1A British,Noor Kendrick,noor.kendrick@family.test
1A British,Sami Barakat,sami.barakat@family.test
1A British,Aya Mansour,aya.mansour@family.test
1A British,Amelia Dunmore,
1A British,Ethan Oakhurst,ethan.oakhurst@family.test
1A British,Maya-Rose Fahmy,maya-rose.fahmy@family.test
1A British,Hadi Rifai,hadi.rifai@family.test
1B British,Rasha Hensley,rasha.hensley@family.test
1B British,Jana Stanbury,jana.stanbury@family.test
1B British,Lina Jaber,lina.jaber@family.test
1B British,Hiba Ashworth,hiba.ashworth@family.test
1B British,Anas Langley,anas.langley@family.test
1B British,Leo Chahine,leo.chahine@family.test
1B British,Clara Nabhan,
1B British,Toby Eastley,toby.eastley@family.test
1B British,Dina Prentice,dina.prentice@family.test
1B British,Layla Ghanem,layla.ghanem@family.test
1B British,Rayan Sabbagh,rayan.sabbagh@family.test
1B British,Farah Ingleby,farah.ingleby@family.test
1B British,Fares Thorley,fares.thorley@family.test
1B British,Oliver Kassab,
1B British,Ivy Brentwood,ivy.brentwood@family.test
1B British,Felix Merrick,felix.merrick@family.test
1B British,Rita Darwish,rita.darwish@family.test
1B British,Jamil Obeid,jamil.obeid@family.test
1B British,Adam Fairholm,adam.fairholm@family.test
1B British,Hamza Quillan,hamza.quillan@family.test
1B British,Jad Hourani,
1B British,Sireen Tannous,sireen.tannous@family.test
1B British,Isla Jarrow,isla.jarrow@family.test
1C British,Lucas Barakat,lucas.barakat@family.test
1C British,Eliza Mansour,eliza.mansour@family.test
1C British,Kareem Dunmore,kareem.dunmore@family.test
1C British,Youssef Oakhurst,youssef.oakhurst@family.test
1C British,Maya Fahmy,maya.fahmy@family.test
1C British,Ali Rifai,ali.rifai@family.test
1C British,Reem Hensley,
1C British,Mazen Stanbury,mazen.stanbury@family.test
1C British,Noah Jaber,noah.jaber@family.test
1C British,Rosie Ashworth,rosie.ashworth@family.test
1C British,Zayd Langley,zayd.langley@family.test
1C British,Yara Chahine,yara.chahine@family.test
