fullName,email,subjects,curriculum
Sara Al Harbi,sara.al-harbi@school.test,math,british
Omar Nasser,omar.nasser@school.test,math,british
Laila Haddad,laila.haddad@school.test,math,british
Yousef Mansour,yousef.mansour@school.test,math,british
Nadia Khalil,nadia.khalil@school.test,math,british
Hassan Rifai,hassan.rifai@school.test,math,british
Maryam Zahran,maryam.zahran@school.test,math,british
Tariq Sulaiman,tariq.sulaiman@school.test,math,british
Huda Barakat,huda.barakat@school.test,math,british
Adel Farouk,adel.farouk@school.test,math,british
Emily Carter,emily.carter@school.test,math,american
Daniel Whitfield,daniel.whitfield@school.test,math,american
Grace Holloway,grace.holloway@school.test,math,american
Peter Ashcroft,peter.ashcroft@school.test,math,american
Claire Bennett,claire.bennett@school.test,math,american
Jonathan Reeves,jonathan.reeves@school.test,math,american
Amelia Thornton,amelia.thornton@school.test,math,american
Michael Dawson,michael.dawson@school.test,math,american
Rebecca Lindsay,rebecca.lindsay@school.test,math,american
Stephen Marsh,stephen.marsh@school.test,math,american
Fatima Al Sayed,fatima.al-sayed@school.test,english,british
Khalid Jaber,khalid.jaber@school.test,english,british
Rania Mahmoud,rania.mahmoud@school.test,english,british
Ibrahim Qassim,ibrahim.qassim@school.test,english,british
Dalia Shaheen,dalia.shaheen@school.test,english,british
Samir Toufik,samir.toufik@school.test,english,british
Noor Abdelrahman,noor.abdelrahman@school.test,english,british
Ziad Halabi,ziad.halabi@school.test,english,british
Mona Kanaan,mona.kanaan@school.test,english,british
Bilal Darwish,bilal.darwish@school.test,english,british
Charlotte Pemberton,charlotte.pemberton@school.test,english,american
Andrew Kingsley,andrew.kingsley@school.test,english,american
Hannah Whitaker,hannah.whitaker@school.test,english,american
Oliver Grantham,oliver.grantham@school.test,english,american
Sophie Ellison,sophie.ellison@school.test,english,american
Thomas Radcliffe,thomas.radcliffe@school.test,english,american
Isabelle Fairbanks,isabelle.fairbanks@school.test,english,american
George Hammond,george.hammond@school.test,english,american
Victoria Prescott,victoria.prescott@school.test,english,american
Nathan Boyle,nathan.boyle@school.test,english,american
